,English,Yoruba
699,That you don't know,Tí o ò mọ
700,"This body right here, I love it","Ará yìí, mo féràn ẹ̀"
701,I love slim girls,Mo féràn obìnrin pẹlẹbẹ
702,Just turn around,Yí po
703,Don't be afraid o,Má bẹ̀rù o
704,All these things are very small,Àwọn nǹkan yìí kéré
705,You don't need them,O ò nilo wọn
706,You need a man like me,Irú ọkùnrin bí i tèmi lo nílò
707,Are you sure?,Ṣé ó dá ẹ lójú?
708,I'm very very sure,Ó dá mi lójú gan
709,You know my name?,Ṣé o mọ orúkọ mi?
710,You don't know my name?,O ò mọ orúkọ mi?
711,"Don't worry, I'll tell you later ","Má ṣèyọnu, màá sọ fún ẹ tó bá yá"
712,You understand?,Ó yé ẹ?
713,All these things,Gbogbo àwọn nǹkan yìí
714,Have no meaning,Kò ní ìtumò
715,"Good day, are you Mr John? ","Ẹ ǹlẹ́, ṣé ẹ̀yin ni ọ̀gbẹ́ni John"
716,Who is this?,Ta ni eléyìí
717,"Please answer the question, are  you Mr John "," Ẹ jọ̀wọ́ ẹ fèsì, ṣé ẹ̀yin ni ọ̀gbẹ́ni John"
718,What is this about?,Kí ni eléyìí dá lé?
719,"You're wasting my time, you can see I'm with a lady "," Ẹ̀ ń fi àkókò mi ṣòfò, ẹ rí i pé mo wà pẹ̀lú obìnrin"
720,Don't be rude please,Ẹ má hu ìwà àìlọ́wọ̀
721,"As you can see, we are from the police "," Gẹ́gẹ́ bí ẹ ṣe rí i, ọlọ́pàá ni wá"
722,Let me see your ID,Ẹ jẹ́ kí n wo ìdánimọ̀ yín
723,I am detective Bosun from the state CID,Èmi ni ọ̀tẹlẹ̀múyẹ́ Bosun láti ẹ̀ka ìṣèwádìí ọ̀ràn ní ìpínlè
724,And I'm detective Charles Okafor,Èmi sì ni ọ̀tẹlẹ̀múyẹ́ Charles Okafor
725,What do you want?,Kí ni ẹ fẹ́?
726,You are under arrest,Òfin gbé yín
727,For what?,Fún kíni?
728,When he gets to the station,Tí wọ́n bá dé àgọ́
729,He would know what he has done,Wọ́n máa mọ ohun tí wọn ṣe
730,"Baby girl, give me a second okay ","Ọmọ ẹ̀lẹ̀, fún mi ní ìṣẹ́jú kan"
731,Can I come with you,Ṣé kí n tẹ̀lé yín
732,Relax yourself,Fara rẹ balẹ̀
733,After you sir,Lẹ́yìn yín sà
734,This way,Ẹ gba báyìí
735,Come with us please,"Ẹ jọ̀wọ́, ẹ já lọ"
736,Myself and Esther,Èmi àti Esther
737,We've known each other since our university days,A ti mọra láti ilé-ẹ̀kọ́ gíga
738,I went to collect my house rent,Owó ilé mi ni mo lọ gbà
739,I met her mother in law and I saw her there,"Mo bá ìyá ọkọ ẹ, mo dẹ̀ rí i níbẹ̀"
740,We had an instant connection,A bẹ̀rẹ̀ sí í sọ̀rọ̀
741,Until that faithful day,Títí di ọjọ́ yẹn
742,Baby are you home,Ìfẹ́ ṣé o wà nílé
743,Who's there,Ta nìyẹn
744,It's me Esther,Èmi Esther ni
745,"I know you are in there, open the door ","Mo mọ̀ pé o wà nínú ilé, ṣí ilẹ̀kùn"
746,I'm coming baby,Mo ń bọ̀
747,Are you okay,Ṣé o wà dáadáa
748,I am,Mo wà
749,What kept you so long,"Kí ló mú ẹ pẹ́, mo ti ń kan ilẹ̀kùn tipẹ́"
750,I was working out upstairs,Mò ń ṣe eré ìdárayá lókè ni
751,You know how these things are,O mọ bí àwọn nǹkan yìí ṣe máa ń rí
752,Are you sure there is no body in this house,Ó dá ẹ lójú pé kò sí ẹnì kankan nínú ilé yìí
753,I was gone for like few minutes,Mo kàn lọ fún ìṣẹ́jú díẹ̀ ni
754,I wanted to get fresh clothes,Mo lọ mú aṣọ tuntun
755,"Detective, I didn't know what to do ","Ọ̀tẹlẹ̀múyẹ́, mi ò mọ nǹkan tí mo lè ṣe ni"
756,She had a few sniffs,Ó fà á díẹ̀
757,Her pulse stopped and she stopped breathing,"Ílùkìkì ọkàn-àyà rẹ dákẹ́, kò sì mí mọ́"
758,I didn't know what to do,Mi ò mọ nǹkan tí mo máa ṣe ni
759,"Look Esther came over, we went upstairs together ","Esther wá, a dẹ̀ jọ gùnkè"
760,"When she was upstairs, I put the body in the trunk of her car ","Nígbà tó wà lókè, mo lọ gbé òkú náà sínú ọkọ̀ rẹ̀"
761,I was confused,Ó rú mi lójú ni
762,What would you have me do?,Kí ni mi ò bá ṣe?
763,It wasn't my fault,Kìí ṣẹ ẹjọ́ mi
764,Nurse Bimbo,Nọ́ọ̀sì Bímbọ́
765,Why are you not in your uniform,Kí ló dé tí o ò wọ aṣọ iṣẹ́
766,But he said you asked him to see you,Ṣùgbọ́n àwọn sọ pé ẹ ní kí àwọn wá rí yín
767,So I decided to follow him,Mo wá ní kí n tẹ̀lé wọn
768,"Sorry, I forgot","Má bínú, mo ti gbàgbé"
769,Mr Bolorunduro,Ọ̀gbẹ́ni Bọ́lọ́rùndúró
770,Your condition,Ipò tí ẹ wà
771,I will try to explain,Màá gbìyànjú láti ṣàlàyé
772,Pardon my medical terms,Ẹ gbà mí láyè láti lo ìpèdè ìṣègùn
773,ADHD is a neuro developmental order,ADHD jẹ́ àìsàn àìpé ọpọlọ
774,It does not in anyway affect or influence intelligence,Kò ní nǹkankan ṣe pẹ̀lú ọgbọ́n orí
775,It does however affect a person's ability to regulate attentions and emotions,Ṣùgbọ́n ó máa ń kó bá ìmọ̀lára èèyàn àti bí èèyàn ṣe máa ń ṣètò àkíyèsí
776,But we will give you a detailed evaluation,Ṣùgbọ́n a  máa fún yín ní àyẹ̀wò ẹ̀kúnrẹ́rẹ́
777,Then a review of your medical history,Lẹ́yìn náà a máa ṣe àgbéyẹ̀wò ìlera yín láti ìgbà pípẹ́
778,"Then possibly, tests to measure your attention, distractability and memory "," A máa ṣe ìdánwò láti wọn ipele ìfọkànsí, ìmọ́kànkúrò yín àti bí ẹ ṣe ń rántí nǹkan sí"
779,Once we are able to do this,Tí a bá ti lè ṣe èyí
780,We’ll know how to tackle him and where to start from,A máa mọ bí a ṣe fẹ́ dojúkọ ọ́ àti ibi tí a ti máa bẹ̀rẹ̀
781,Are you worried,Ṣé ọkàn yín kò balẹ̀ ni?
782,"No, it is because you said something like I’m insane ","Rárá, nítorí pé ẹ sọ nǹkan tí ó jọ wí pé mo ti yí lórí"
783,I feel okay,Nǹkankan ò dẹ̀ ṣe mí
784,"No it is just a medical condition, you’ll be fine ","Rárá, ipò àìlera kan ni, àlàáfíà máa tó ẹ"
785,Don't say that,Má sọ bẹ́ẹ̀ mọ̀
786,I’m not talking about insanity here,Mi ò sọ̀rọ̀ nípa ìyílórí níbí
787,"Like I said, it  does not in anyway affect you "," Bí mo ṣe ń sọ lọ, kò gba ibì kankan dà yín láàmú"
788,From what I heard you are a writer and author. That means you are okay,"Gẹ́gẹ́ bí mo ṣe gbọ́, Òǹkọ̀wé ni yín. Ìyẹn túmọ̀ sí pé àlàáfíà lẹ wà"
789,The only thing associated with it is that...,Àwọn nǹkan tó kàn so mọ ni wí pé
790,"If people see things as bad, you might not see it the way they see it "," Tí àwọn èèyàn bá rí nǹkan bí i pé kò dára, Ẹ̀yin lè má rí i bí àwọn èèyàn ṣe máa rí i"
791,"Thank God you have her, we'll be able to work some things out ","Olúwa ṣeun, ẹ ní òun, a máa lè ṣe àwọn ohun kan"
792,You hear?,Ṣé ẹ ti gbọ́?
793,How are you,Báwo ni
794,I'm fine,Mo wà dáadáa
795,What about junior?,Junior ńkọ́?
796,Junior is asleep.,Junior ń sùn
797,I had time for myself after he slept,Ìgbà tó sùn náà ni mo ráyè tèmi
798,I just noticed I didn't hear his cry,Mo ṣáà rí i pé mi ò gbọ́ ariwo ẹ̀
799,I hope he did not disturb you?,Ṣé kò ṣáà disturb yín ṣá?
800,He is gentle lately,Ó tiẹ̀ ṣe jẹ́jẹ́ lẹ́nu ọjọ́ mẹ́ta yìí
801,Femi have you seen this?,Fẹ́mi ṣé o ti rí èyí?
802,What's that?,Kí nìyẹn?
803,"Oh, I have seen it "," Oh, mo ti ri"
804,It's all over the news he has been convicted,"Ìròyìn ti gbé e, wọ́n ti dájọ́ fún un"
805,"Yes, but this is the man your ex wife was sleeping with right? "," Bẹ́ẹ̀ ni, ṣé ọkùnrin tí ìyàwó ẹ̀ tẹ́lẹ̀ rí ń bá sùn rè é?"
806,Sad right?,Ó dùn èèyàn àbí?.
807,"No, he is my ex husband, the one I told you about","Rárá, Ọkọ mi tẹ́lẹ̀ rí ni, èyí tí mo sọ fún ẹ nípa ẹ̀"
808,That one that was cheating despite the fact that he was broke?,Èyí tí ó ń ṣe ìranu pẹ̀lú bí kò ṣe sówó lọ́wọ́ ẹ̀?
809,And you were the one feeding him,Tí ó jẹ́ pé ìwọ ni ò ń bọ́ ọ
810,You remember vividly,O rántí dáadáa
811,I remember it well,Mo rántí dáadáa
812,That guy was not broke. He's rich,"Owó ò sá fẹ́rẹ́ lọ́wọ́ ọkùnrin yẹn, ó ní owó lọ́wọ́"
813,"Yes, I remember you said he bought her that car ","Bẹ́ẹ̀ ni, mo rántí pé o ní òun ló ra ọkọ̀ yẹn fún un"
814,Thank God I have you now,Olúwa ṣeun pé mo ní ìwọ nísìnyí
815,"I have told you, let's take this very slow ","Mo ti sọ fún ẹ, jẹ́ ká fi sùúrù ṣe èyí"
816,Very slow? Something like this?,Ká fi sùúrù ṣe é? Báyìí àbí?
