,english,yoruba
1359,We will keep speaking up.,A kò ní dẹ́kun láti máa sọ ohun tí ó ń gbé wa lọ́kàn síta fún aráyé gbọ́.,
1360,The company must invest everything they make in improving our rivers and caring about human lives.,Iléeṣẹ́ náà gbọdọ̀ lo èrè tí wọ́n bá rí fi tún àwọn odòo wa ṣe àti ṣíṣe àbójútó ẹ̀mí ọmọ ènìyàn.,
1361,Tanzanian authorities detain and deport Ugandan human rights leader,"Ìjọba Tanzania fi Ajìjàgbara Ọmọ Orílẹ̀-èdèe Uganda sí àtìmọ́lé, wọ́n sì lé e kúrò nílùú",
1362,Dr. Wairagala Wakabi [Image by CIPESA and used with permission],Dókítà Wairagala Wakabi [Àwòrán láti CIPESA tí a fi àṣẹ lò],
1363,"Wairagala Wakabi, a leading digital rights advocate from Uganda, was detained at Julius Nyerere International Airport in Dar es Salaam, Tanzania on April 25.","Wairagala Wakabi, àgbà ọ̀jẹ̀ ajàfẹ́tọ̀ọ́ ẹ̀rọ ayárabíàṣá tí ó wá láti Uganda, di ẹni àtìmọ́lé ní Pápákọ̀ òfuurufú Julius Nyerere International Airport ní Dar es Salaam, Tanzania lọ́jọ́ 25 oṣù Igbe.",
1364,Wakabi was invited to speak at the annual Tanzania Human Rights Defenders’ Day hosted by the Tanzania Human Rights Defenders Coalition (THRDC).,A fi ìwé pe Wakabi kí ó wá á sọ̀rọ̀ níbi ètò Àyájọ́ Àwọn Olùgbèjà Ẹ̀tọ́ Ọmọnìyàn ní Tanzania ọlọ́dọọdún tí Àgbáríjọ Olùgbèjà Ẹ̀tọ́ Ọmọnìyàn ti Tanzania (THRDC) jẹ́ olùgbàlejò.,
1365,"Wakabi is the Executive Director of the Collaboration on International ICT Policy for East and Southern Africa (CIPESA), one of the foremost organizations working on internet policy and online free speech in Africa.","Wakabi ni Olùdarí Àgbà Ìfọwọ́sowọ́pọ̀ Ètò-ìmúlò Ìmọ̀-ẹ̀rọ Gbogboògbò fún Ìlà-Oòrùn àti Gúúsù Ilẹ̀ Adúláwò (CIPESA), ọ̀kan gbòógì nínú ilé-iṣẹ́ tí ó ń ṣe ètò tí ó dá lórí ètò-ìmúlò ẹ̀rọ ayélujára àti òmìnira ọ̀rọ̀ sísọ ní orí ayélujára ní ilẹ̀ Adúláwò.",
1366,"Wakabi was deported back to Uganda after several hours of interrogation, during which he was denied access to a lawyer.","Lẹ́yìn ọ̀pọ̀lọpọ̀ wákàtí tí a fi ọ̀rọ̀ wá Wakabi lẹ́nu wò, tí wọn kò sì jẹ́ kí ó rí agbẹjọ́rò, a dá a padà sí Uganda.",
1367,"Attorneys from the Tanzania Human Rights Defenders Coalition attempted to advocate on his behalf, but were told only that Wakabi was being deported on grounds of ""national interest"":","Àwọn aṣojú láti Àgbáríjọ Olùgbèjà Ẹ̀tọ́ Ọmọnìyàn gbìyànjú láti jà fún un, àmọ́ a sọ fún wọn wípé fún ""àǹfààní ìlú"" ni a fi dá Wakabi padà sí ìlúu rẹ̀:",
1368,"Though the ordeal lasted only a few hours, it brought great consternation among rights advocates in the region, who have grown wary of Tanzania's treatment of activists and journalists.","Bí ó ti lẹ̀ jẹ́ pé ìṣẹ̀lẹ̀ náà kò ju wákàtí díẹ̀ lọ, ó mú ìjáyà ńlá bá àwọn ajàfẹ́tọ̀ọ́ ní agbègbè náà, tí ọ̀ràn ìwà àìtọ́ tí orílẹ̀-èdèe Tanzania ń wù sí àwọn ajìjàgbara àti oníṣẹ́-ìròyìn ń peléke sí i.",
1369,"In November last year, Angela Quintal and Muthoki Mumo both staff of Committee to Protect Journalists, were detained for several hours in Dar es Salaam, Tanzania, and had their passports temporarily seized.","Nínú oṣù Belu ọdún tí ó ré kọjá, àwọn òṣìṣẹ́ Ìgbìmọ̀ tí ó ń Dáàbò bo Oníṣẹ́-ìròyìn, Angela Quintal àti Muthoki Mumo di ẹni àtìmọ́lé fún ọ̀pọ̀ wákàtí ní Dar es Salaam, Tanzania, tí ìwé ẹ̀rí ọmọ-ìlú-fún-ìrìnnàa wọ́n di gbígbà lọ́wọ́ọ wọn.",
1370,"Human Rights Watch asserted that Tanzania under the leadership President John Magufuli has witnessed ""a marked decline in respect for free expression, association and assembly"".","Human Rights Watch sọ wípé lábẹ́ ìṣàkóso ìjọba Ààrẹ John Magufuli Tanzania ti rí ""ìrésílẹ̀ ìbọ̀wọ̀ fún òmìnira ọ̀rọ̀ sísọ, ìkẹ́gbẹ́ àti àpéjọ dé ojú àmì"".",
1371,"In 2015, the United Republic of Tanzania promulgated the Cybercrimes Act.","Ní ọdún-un 2015, Orílẹ̀èdè Olómìnira Ìṣọ̀kan Tanzania kéde Ìgbésẹ̀ Ìrúfin Orí Ẹ̀rọ Ayélujára.",
1372,"Within a year of the passing of that law, at least 14 Tanzanians were arrested and prosecuted under the law for insulting the president on social media.","Ní àárín ọdún kan tí a kéde òfin yẹn, ó ti tó bí ọmọ orílẹ̀ èdèe Tanzania 14 tí òfín ti mú tí a sì ti dálẹ́jọ́ lábẹ́ òfin fún pé wọ́n sọ̀rọ̀ mọ́ṣààsí sí ààrẹ lórí ẹ̀rọ alátagbà.",
1373,"March 2018 saw the passing of the Electronic and Postal Communications (Online Content) Regulations, making it mandatory for bloggers to register and pay roughly US $900 per year to publish online.",Pẹ́pẹ́yẹ gbé ọmọ pọ̀n nínú oṣù Ẹrẹ́nà ọdún-un 2018 nígbàtí a gba Ìlànà Ẹ̀rọ Ayárabíàṣá (Ohun orí ayélujára) àti Ìtàkùrọ̀sọ Ìfìwéránṣẹ́ wọlé tí ó mú un ní túláàsì fún àwọn akọbúlọ́ọ̀gù láti fi orúkọ sílẹ̀ tí wọ́n á sì san owó orí tí ó tó bíi US $900 lọ́dún kí wọn ó tó lè gbé àtẹ̀jáde sí orí ayélujára.,
1374,This caused many independent blogs to go dark.,Èyí mú kí ọ̀pọ̀lọpọ̀ búlọ́ọ̀gù aládàádúró ó wọ òkùnkùn.,
1375,"The stifling of independent media through a mixture of sanctions against media outlets and legal threats against journalists has created an atmosphere of intimidation, self-censorship and fear of expressing alternative views about the country’s leaders.","Ìpalẹ́numọ́ iléeṣẹ́ akọ̀ròyìn aládàádúró nípasẹ̀ àwọn àdàlù ìṣíwèé fún ilé iṣẹ́ akọ̀ròyìn àti ìrókẹ́kẹ́ mọ́ oníṣẹ́-ìròyìn ti di ìdẹ́rùbà, ìkóra-ẹni-ní-ìjánu àti ìbẹ̀rù láti sọ èrò ọkàn ẹni nípa àwọn olórí orílẹ̀ èdè náà.",
1376,The detention and subsequent deportation of Wakabi back to Uganda appears to be a continuation of the Tanzania's government assault on free speech and dissent.,Àtìmọ́lé àti ìdápadà Wakabi sí Uganda jẹ́ ìtẹ̀síwájú ìdojú-ìjà-kọ òmìnira ọ̀rọ̀ tòun èrò ọkàn ẹni ní Tanzania.,
1377,Digital journalist Luis Carlos Diaz is missing in Venezuela,Oníròyìn Orí ẹ̀rọ-alátagbà Luis Carlos Diaz di àwátì ní Venezuela,
1378,"""Where is Luis Carlos?""","""Níbo ni Luis Carlos wà?""",
1379,Image of the public online campaign shared by Provea.,Àwòrán ìpolongo orí ayélujára tí Provea taari síta.,
1380,In the image they indicate the last time he had been contacted and the last time he tweeted.,Wọ́n sọ ìgbà tí a pè é kẹ́yìn àti túwíìtì tí ó tẹ̀ kẹ́yìn nínú àwòrán náà.,
1381,"On the evening of March 11, political commentator Naky Soto and wife of Venezuelan journalist and media activist Luis Carlos Diaz tweeted that he had been missing for five hours.","Ní ìrọ̀lẹ́ ọjọ́ 11, oṣù Ẹrẹ́nà olùfèsì sí ọ̀rọ̀ ìṣèlú Naky Soto tí ó tún jẹ́ aya akọ̀ròyìn àti ajììjàǹgbara iṣẹ́ ìròyìn tí ó jẹ́ ọmọ orílẹ̀ Venezuela, Luis Carlos Díaz túwíìtì pé òun ti ń wá ọkọ òun fún wákàtí márùn-ún.",
1382,"[Update] The Union of Press Workers (in Spanish, the SNTP) reported that Luis Carlos had been detained by the Bolivarian Intelligence Forces (SEBIN):",[Ìròyìn tí ó tẹ̀ wá lọ́wọ́] Àjọ àwọn Òṣìṣẹ́ Ìròyìn (SNTP lédè Spanish) jábọ̀ pé àwọn Agbófinró Ọ̀tẹlẹ̀múyẹ́ Bolivaria (SEBIN) ti fi Luis Carlos sí àtìmọ́lé.,
1383,URGENT A Sebin commission confirms that journalist Luis Carlos Díaz has been detained by that police organism.,PÀJÁWÌRÌ Àjọ Sebin kan fìdíi rẹ̀ múlẹ̀ pé akọ̀ròyìn Luis Carlos Diaz ti wà ní àhámọ́ àwọn ọlọ́pàá yẹn.,
1384,"They pointed their weapons at journalist [and members of the Press Union] Marco Ruiz, Luz Mely Reyes and Federico Black.","Wọ́n yọ àwọn ohun ìjà ti akọ̀ròyìn Marco Ruiz, Luz Mely Rehes àti Federico Black [pẹ̀lú àwọn ọmọ ẹgbẹ́ òṣìṣẹ́ ìròyìn.",
1385,"Hours before, Soto had tweeted that Luis Carlos Díaz had been missing for five hours:","Wákàtí díẹ̀ sẹ́yìn, Soto túwíìtì pé àwọn ti ń wá Luis Carlos Díaz fún wákàtí márùn-ún:",
1386,"@LuisCarlos is on his bike, but since 5:30 I've heard nothing from him and:","@LuisCarlos wà ní orí kẹ̀kẹ́ẹ rẹ̀, ṣùgbọ́n láti aago 5:30 ni mi kò ti gbúròó rẹ̀ mọ́, bẹ́ẹ̀:",
1387,– he's not at the radio station,– Kò sí ní ilé iṣẹ́ ìgbóhùnsáfẹ́fẹ́ náà,
1388,– he's not at home,– Kò sí nílé,
1389,– he hasn't tweeted,– Kò tíì túwíìtì,
1390,– he isn't answering calls,– Kò gbé ìpèe rẹ̀,
1391,– he isn't answering SMS or WhatsApp messages,– Kò fèsì sí àtẹ̀jíṣẹ́ tàbí iṣẹ́-ìjẹ́ oríi WhatsApp,
1392,"[Update] As members of SEBIN searched Diaz's and Soto's home, Luz Mely Reyes reported live from the scene.","[Ìròyìn tó tẹ̀wá lọ́wọ́] Luz Mely Reyes tí ìṣẹ̀lẹ̀ náà ṣe ojúu rẹ̀, fi tó wa létí nípa bí àwọn Agbófinró SEBIN ṣe yẹ ilée Díaz pẹ̀lú ilée Soto náà wò.",
1393,The SNTP also reported the incident:,Ìsọ̀kan àwọn Oníròyìn náà fẹ ọ̀rọ̀ náà lójú:,
1394,"URGENT At this time, 3:30 am, a commission from the Intelligence Forces arrives to journalist and human rights activist Luis Carlos Díaz's home, missing since 5:30 pm #WhereIsLuisCarlos","NÍ KÍÁKÍÁ Ní dédé àsìkò yìí, ní dédé agogo 3:00 òwúrọ̀ kùtùkùtù, ìgbìmọ̀ láti àjọ Amúninípá dé ilé oníròyìn àti ajà-fún- ẹ̀tọ́ọ ọmọ ènìyàn Luis Carlos Díaz, tí ó ti di ẹni àwátì láti agogo 5:30 ìrọ̀lẹ́ #NiboNiLuisCarlosWa.",
1395,"Other human rights and freedom of speech organizations joined the campaign through #DondeEstaLuisCarlos (Where is Luis Carlos?) which is, at the moment, a trending topic in Venezuela's twittosphere.","Àwọn ajàfúnẹ̀tọ́ ọmọnìyàn àti àjọ òmìnira ọ̀rọ̀ sísọ náà darapọ̀ mọ ìpolongo yìí pẹ̀lú #DondeEstaLuisCarlos (Níbo ni Luis Carlos wà?), tí ó jẹ́ pé, ní báyìí, ni àkọlé tí ó gbajúmọ̀ ní orí ìkànnì ayélujára Twitter ti Orílẹ̀ Èdè Venezuela.",
1396,Díaz is a journalist and a human rights and freedom of speech advocate who is well known and highly appreciated in Venezuela and abroad for his commentary and criticism of the government of Nicolas Maduro.,Díaz jẹ́ ajábọ̀ ìròyìn àti a-jà-fún-ẹ̀tọ́-ọmọ ènìyàn tí ó jẹ́ ògbólógbòó ajàfúnẹ̀tọ́ òmìnira ọ̀rọ̀ sísọ tí wọ́n sì mọ ìṣe rẹ̀ fún un l'órílẹ̀ èdè Venezuela àti òkè òkun fún ìdásọ́rọ̀ àti ìtakò ìjọba Nicholas Maduro.,
1397,He has long worked with Soto producing web-based video and radio programs focused on politics and human rights in Venezuela.,"Ó ti tó ìgbà díẹ̀ kan tí ó ti ń ṣiṣẹ́ pẹ̀lú ìyàwó rẹ̀ àti olùdásọ́rọ̀ òṣèlú tí ó gbajúmọ̀ n nì, Naky Soto, tí wọn sì ń ṣe ìgbéjáde àwọn fídíò àti ètò Ìgbóhùnsáfẹ́fẹ́ lórí ayélujára èyí tí ó dá lórí ìṣèlú àti ẹ̀tọ́ ọmọ ènìyàn ní Venezuela.",
1398,He has also worked as an educator and promoter of the creation of citizen media spaces and independent media projects.,Ó ti ṣiṣẹ́ gẹ́gẹ́ bí akọ́ni àti olùgbé-lárúgẹ ìdásílẹ̀ àyè ọ̀tọ̀ fún àwọn ará ìlú àti àwọn àkànṣe eto ìgbóhùn sáfẹ́fẹ́ tí kò lọ́wọ́ ìjọ̀ba nínú.,
1399,Díaz has also been part of the Global Voices community for more than a decade.,Díaz tún jẹ́ olùkópa nínú ẹgbẹ́ Ohùn Àgbáyé fún ọdún mẹ́wàá.,
1400,"To me, Luis Carlos is a brilliant person, well versed in information and networks in this chaotic Venezuela of ours.","Lọ́dọ̀ tèmi, Luis Carlos jẹ́ onílàákàyè ẹ̀dá kan, ó gbọ́njú nínú ìròyìn gbígbà àti ìkànsì-ara-ẹni nínú Venezuela ti wa yìí tí kò fara rọ.",
1401,He has been able to make links with society (from criticism to cultural spaces) #WhereIsLuisCarlos.,Ó ti ṣe àwárí ìjápọ̀ nínú ìlú (láti ìtakò sí ibi ìṣẹ̀ṣe) #NiboniLuisCarlosWa.,
1402,"Just a few days prior to his disappearance, the state-affiliated media program Con el Mazo Dando showed a video clip of a recent broadcast of Diaz.","Láàrin ọjọ́ péréte tó ṣíwájú ìpòóráa rẹ̀, ètò ìkàn-sára- ẹni ti ìjọba Con el Mazo Dando ṣàfihàn fídíò tí Díaz sọ̀rọ̀ nínúu rẹ̀.",
1403,"The program's host, politician Diosdado Cabello, insinuated that Diaz had helped to orchestrate the nationwide power outage that had Venezuelans living in the dark for more than 24 hours on March 7 and 8.","Atọ́kùn ètò ọ̀hún, olóṣèlú Diosdado Cabello, rò kàn pé Díaz lọ́wọ́ sí ìfẹ̀hónú hàn àìsí ináa mọ̀nàmọ̀nà tí ò lọ jákèjádò orílẹ̀ èdè èyí tí ó mú kí àwọn ọmọ Venezuela máa gbé nínú òkùnkùn fún ó lé ní wákàtí mẹ́rin lé lógún lọ́jọ́ 7 àti 8 Oṣù Ẹrẹ́nà",
1404,There is no evidence to support this.,Kò sí ẹ̀rí tí ó fi ẹsẹ̀ rinlẹ̀.,
1405,It's been been seven hours since Luis Carlos Díaz has gone missing.,Wákàtí méje ti ré kọjá lọ tí Luis Carlos Díaz ti di àwátì.,
1406,[Díaz] is a journalist for Unión Radio Noticias and he's a human rights activist.,"[Díaz] jẹ́ oníròyìn fún ilé iṣẹ́ ìgbóhùnsáfẹ́fẹ́ Unión Radio Noticias , ó sì tún jẹ́ ajàfúnẹ̀tọ́ ọmọnìyàn.",
1407,We're at the SEBIN headquarters and they deny having him [in custody there] #WhereIsLuisCarlos,Àwa ní olú ilé iṣẹ́ẹ SEBIN headquarters àti pé wọ́n ní àwọn kò ní í [ní àhámọ́ àwọn] #NiboNiLuisCarlosWa.,
1408,[Update: they later confirmed Diaz was in custody],[Ìròyìn tí ó tẹ̀ wá lọ́wọ́: they wọ́n pàpà jẹ́wọ́ wípé [Diaz wà ní akolóo wọn],
1409,Journalist Vladimir Villegas denounced that he had been detained by government forces:,Akọ̀ròyìn Vladimir Villegas sọ wípé kò rí bẹ́ẹ̀ mọ́ wípé ìjọba ni ó fi ọwọ́ agbára mú u:,
1410,"We've been informed that @Unionradionet journalist Luis Carlos Díaz, has been detained by State's security forces.","radionet Luis Carlos Díaz, ti wà nínú àtìmọ́lé agbófinró Ìlú.",
1411,We express our concern for his physical integrity.,A bá a kẹ́dùn ipò tí ó wà.,
1412,We demand any information of his whereabouts and respect for his human rights.,"A béèrè fún ìtọ́sọ́nà nípa mímọ ibi tí ó wà, àti ìbọ̀wọ̀ fún ẹ̀tọ́ ọmọnìyàn-an rẹ̀.",
1413,"The Global Voices community stands in solidarity with Luis Carlos, his family, and all other independent journalists working to hold power to account in Venezuela.","Ẹgbẹ́ Ohùn Àgbáyé dúró ṣinṣin pẹ̀lú Luis Carlos, ẹbíi rẹ̀, àti oníròyìn aládàáṣiṣẹ́ gbogbo àwọn tí ó ń mú ìjọba ṣe bí ó ti yẹ ní Venezuela.",
1414,"We wish for his safe and speedy return, and will continue to update this story as it develops.","À ń retíi rẹ̀ kí ó dé kíákíá ní àlàáfíà ara àti ẹ̀mí, a ó máa gbé àwọn ìròyìn síta nípa ìròyìn yìí bí ó ba ṣe ń tẹ̀ wá lọ́wọ́.",
1415,Nigeria's social media bill will obliterate online freedom of expression,Ìwé àbádòfin ìlò ẹ̀rọ alátagbà yóò pa òmìnira ọ̀rọ̀ sísọ lórí ayélujára ní Nàìjíríà,
1416,The draconian bill will legalize internet shutdowns in Nigeria,Ìwé àbádòfin náà yóò fi àṣẹ fún ìṣánpa ẹ̀rọ ayélujára ní Nàìjíríàj,
1417,Senator Mohammed Sani Musa is the sponsor of the social media bill. Screenshot from Channel Television You Tube video.,Aṣojú Mohammed Sani Musa ni agbátẹrùu ìwé àbádòfin ìlò ẹ̀rọ alátagbà. Àwòrán àgékù láti ibùdó Channel Television You Tube .,
1418,"On November 20, the Protection from Internet Falsehoods and Manipulation of other Related Matters Bill 2019, known as the ""social media bill"", sponsored by Senator Mohammed Sani Musa, sailed through a second reading.","Lọ́jọ́ 20 oṣù Belu, Ìwé Àbádòfin tí ó fi Ààbò fún Irọ́ àti Màkàrúrù tí ó rọ̀ mọ́ ọn ti ọdún-un 2019, tí a mọ̀ sí ""ìwé àbádòfin ìlò ẹ̀rọ alátagbà"", tí Aṣojú kan tí orúkọ rẹ̀ ń jẹ́ Mohammed Sani Musa ṣe agbátẹrùu rẹ̀, ti di kíkà nínú ìgbìmọ̀ fún ìgbà kejì.",
1419,The social media bill aims to curb online falsehoods and mis- and disinformation.,Èròńgbà ìwé àbádòfin ìlò ẹ̀rọ alátagbà náà ni láti dẹ́kun àwọn àhesọ àti gbólóhùn tí kì í ṣe òtítọ́ lórí ẹ̀rọ ayélukára bí ajere.,
1420,"However, the real intent is not regulation, but rather, the annihilation of online freedom of expression, criminalization of government criticism and legalization of internet shutdowns in Nigeria.","Bí-ó-ti-lẹ̀-jẹ́-wípé, kì í ṣe láti fi òfin de ìlò ẹ̀rọ alátagbà ni ìwé àbádòfin náà dá lé lórí, àmọ́ ṣá, ó máa pa òmìnira ọ̀rọ̀ sísọ lórí ayélujára, ìsọ alátakò ìjọba di ọ̀daràn àti fífi àtìpà ẹ̀rọ ayélujára fúngbà díẹ̀ sínú ìwé òfin.",
1421,A similar bill was beaten dead in its track in 2016.,Àtẹ̀pa bí erín bá tẹ koríko ni àwọn ọmọ Nàìjíríà tẹ irú ìwé àbádòfin báyìí pa ní ọdún-un 2016.,
1422,Any form of government criticism is a crime,Ẹ̀ṣẹ̀ ni bí o bá gbó ìjọba lẹ́nu (tako ìjọba),
1423,"This bill aims to ""[prevent] the transmission of false statements or declaration of facts in Nigeria"", according to Section 1a.","Gẹ́gẹ́ bí Abala 1A ti ṣe ṣàlàyé, èròńgbà ìwé àbádòfin yìí ni láti ""[máà jẹ́] kí ìgbéjáde ọ̀rọ̀ tí kò ní òtítọ́ kan nínú tàbí èyí tí ẹ̀ríi rẹ̀ kò f'ẹsẹ̀ rinlẹ̀ tó ó jáde ní Nàìjíríà"".",
1424,"It will ban the dissemination statements likely to be ""prejudicial"" to Nigeria, including subjects like public health, public safety, ""public tranquility or public finances"" and Nigeria's ""friendly relations with other countries"".","Yóò yọ ọwọ́ kílàńkó àwọn àtẹ̀jáde irọ́ tí ó lè kó orílẹ̀ èdèe Nàìjíríà sí ""ìyọnu"", láwo láì gbàgbée àwọn ọ̀ràn bíi ètò ìlera gbogboògbò, ààbòo gbogboògbò, ""ìbalẹ̀-ọkàn-an gbogboògbò tàbí ìṣúná owóo gbogboògbò"" àti ""àwọn ìbáṣepọ̀ orílẹ̀-èdèe Nàìjíríà pẹ̀lú àwọn orílẹ̀ èdè mìíràn"".",
1425,"The bill will also ""detect, control and safeguard against coordinated misuse of online accounts and bots"", according to Section 1c.","Abala 1c sọ bí ìwé àbádòfin náà yóò ṣe ""mú, ṣàkóso àti fi ààbò bo ìlònílòkulò àwọn ìṣàmúlò àti ẹ̀rọ adánìkanṣiṣẹ́ orí ẹ̀rọ ayélujára"".",
1426,"In other words, everything is permissible to monitor and control in the proposed law — under the guise of fighting false information.","Ní àlàyé síwájú sí i, kò sí ohun tí ojú òfin tuntun náà kò leè tó bí ó bá ti jẹ́ lórí ayélujára — lábẹ́ àbùradà à ń gbógun ti àhesọ àti irọ́ pọ́nbẹ́lẹ́.",
1427,"The social media bill is omniscient since it will be binding for every Nigerian citizen, regardless of residence or geographic location, as long as the ambiguous ""false statement of fact"" is transmitted within the country.","Ọ̀run ń ya bọ̀ ni ìwé àbádòfin ìlò ẹ̀rọ alátagbà náà, kò yọ ẹnìkan sílẹ̀, gbogbo ọmọ orílẹ̀ èdèe Nàìjíríà ni yóò bá, kò kan agbègbè tàbí ibi tí ènìyàn fi ṣe ibùgbé, máà ṣe é l'oògùn máà mọ́, ọwọ́ àwọn ológìnní ojú tólé ojú tóko ni ""gbólóhùn irọ́ tí kò ní ẹ̀rí"" tí ó bá gba òpópónà ẹ̀rọ ayélukára bí ajere Nàìjíríà yóò bọ́ sí.",
1428,Section 3a to b(i) of the social media bill states that:,Abala 3a sí b(i) ti ìwé àbádòfin ìlò ẹ̀rọ alátagbà sọ wípé:,
1429,"A person must not do any act in or outside Nigeria in order to transmit in Nigeria a statement knowing or having reasons to believe that it is a false statements of fact; and the transmission of the statement in Nigeria is likely to be, prejudicial to the security of Nigeria or any part of Nigeria.",Ẹnikẹ́ni kò gbọdọ̀ wu ìwà kíwà kan nínú tàbí lẹ́yìn odi Nàìjíríà láti tari gbólóhùn tí kò ní òtítọ́ kan tí a kò leè fi ẹ̀ríi rẹ̀ múlẹ̀ síta; àti àgbésórí afẹ́fẹ́ ayélujára gbólóhùn t'ó lè kó orílẹ̀ èdèe Nàìjíríà síta bí ọmọ ọjọ́ mẹ́jọ nípa ti ààbò ìlú.,
1430,"The nebulous ""national security"" excuse is used to justify the trumping of free expression.","Ọ̀ràn-an ti ""ààbò orílẹ̀-èdè"" ni orí Èṣù tí òfin náà dúró lé láti pa ẹ̀tọ́ sí òmìnira ọ̀rọ̀ sísọ mọ́.",
1431,"But it does not stop there, the Nigerian government is always right and cannot be criticized.","Àmọ́ kò tán síbẹ̀, kò sí ẹní tó lè tako ìjọba Nàìjíríà tàbí gbó o lẹ́nu nítorí kì í ṣ'àṣìṣe.",
1432,"According to Section 3b(vi), any statement that diminishes “public confidence in the performance of any duty or function of, in the exercise of any power of the government” is prohibited.","Ní Abala 3b(vi), gbólóhùn tí ó bá yẹpẹrẹ “ojúṣe tàbí ìṣe, tí ó jẹ́ ti ìjọba lójú ará ìlú” kò leè la orí ayélujára kọjá.",
1433,"According to Section 3b(v), this applies to any statement that: ""incites feelings of enmity, hatred, directed at persons or ill-will between different groups of persons"".","Gẹ́gẹ́ bí Abala 3b(v) ti ṣe fi hàn, èyí ní í ṣe pẹ̀lú gbólóhùn tí ó: ""fa ìmúnilọ́tàá, tí a sọ sí ẹnìkan tàbí ìtara láàárín àwọn ènìyàn"".",
1434,This is dangerous because it leaves regulators open to contradictory interpretations that could be abused by political actors.,Èyí léwu nítorí ó fi àyè gba àwọn onípò àṣẹ láti lo agbára nílòkulò.,
1435,Who defines and approves what incites feelings of hatred?,Ta ní í sọ bóyá gbólóhùn kan lè fa rògbòdìyàn?,
1436,It means that seeking transparency or even daring to hold a politician accountable could be declared hateful.,Ìyẹn túmọ̀ sí wípé lílo inú kan tàbí mímú àwọn olóṣèlúu mú ìléríi wọn ṣe lè já sí ìkórìíra lójúu wọn.,
1437,"The punishment upon conviction for any provisions of the bill is a fine that ranges between 200,000 and 10 million naira [about $556 to $28,000 United States dollars], imprisonment for a term not exceeding three years or both.","Owó ìtanràn fún ẹni tí ilé ẹjọ́ bá dá lẹ́bi tó láàárín ẹgbẹ̀rún 200 àti ẹgbẹẹgbẹ̀rún 10 owó naira [tí ó tó $556 sí $28,000 owó orílẹ̀ èdèe United States], ìtìmọ́lé fún ọdún mẹ́ta tàbí méjèèjì.",
1438,Police licensed to shut down the internet,Àṣẹ fún Àjọ Agbófinró láti ṣán ẹ̀rọ ayélujára pa fúngbà díẹ̀,
1439,"The social media bill also grants the government unlimited power to switch off the internet, through the ""Access Blocking Order"" as contained in Section 12, number 3:","Ìwé àbádòfin ìlò ẹ̀rọ alátagbà náà fún ìjọba lágbára bí ó ṣe hù wọ́n láti ṣán ẹ̀rọ ayélukára bí ajere pa nígbàkúùgbà tí ó bá lérò wípé ó tọ́, nípasẹ̀ ""Àṣẹ Ìdígàgá Ìráyè"" láti lo ayélujára bí ó ti ṣe wà ní Abala 12, òǹkaye 3:",
1440,The Law Enforcement Department may direct the NCC [Nigerian Communications Commission – the regulatory agency for the telecommunication industry] to order the internet access service provider to take reasonable steps to disable access by end-users in Nigeria.,Ẹ̀ka Agbófinró leè fi àṣẹ fún Àjọ Ìgbóhùnsáfẹ́fẹ́ Nàìjíríà NCC [Nigerian Communications Commission – tí ó ń ṣe bòńkárí ìtàkùrọ̀sọ orí ẹ̀rọ ayárabíàṣá] láti pa á láṣẹ fún apèsè àyè sí ìlò ẹ̀rọ ayélujára kí ó gbé ìgbésẹ̀ lójú ẹsẹ̀ tí ò ní mú àwọn òǹlò rí àyè lo ayélujára ní Nàìjíríà.,
1441,"Internet service providers must comply with this blocking order or risk upon conviction a fine within the range of 5 to 10 million naira [$14,000-28,000 USD].","Àwọn apèsè ayélujára gbọdọ̀ tẹ̀lé òfin ìdígàgá yìí tàbí kí wọ́n ó sanwó ìtanràn tí ó tó ẹgbẹẹgbẹ̀rún 5 sí 10 owó naira [$14,000-28,000 USD].",
1442,"In addition, the bill under consideration indemnifies the internet service providers from any ""civil or criminal liability"" incurred from a lawsuit brought against them for ""complying to any access blocking order"", according to section 12, number 5.","Ní àfikún, ìwé àbádòfin náà fi àrídájú ààbò bo àwọn apèsè iṣẹ́ ẹ̀rọ ayélujára tí kò ní mú wàhálà ""ará ìlú tàbí bẹ́ẹ̀ "" tí kò bá à lè jáde láti ìdájọ́ kan tí ẹnikẹ́ni kò bá pè wọ́n fúnopé ""wọ́n tẹ̀lé òfin ìdígàgá ìráyé"" sí ayélujára, ìyẹn bí abala 12, òǹkaye 5 ṣe fi lélẹ̀.",
1443,The human rights violations get murkier because the law grants the police a legal license to command an access-blocking order at whim.,Ìtẹ́rí ẹ̀tọ́ ọmọnìyàn náà ṣ'ókùnkùn sí i nítorí wípé òfin náà gba àwọn ọlọ́pàá láyè lábẹ́ òfin láti pa àṣẹ ìdígàgá-àyè bí ó ti ṣe hù wọ́n.,
1444,"Section 15a states that only the ""initiative"" of the police in face of ""overwhelming sufficing evidence"" is needed to cancel an internet shutdown in the country.","Abala 15a sọ wípé “iṣẹ́ ọpọlọ” ọlọ́pàá ní àsìkò ""ìṣèwádìí ẹ̀rí tó dájú"" jẹ́ kókó láti fagilé ìṣánpá ẹ̀rọ ayélujára ní orílẹ̀ èdè náà.",
